보관장소,분실물개수,위도,경도
서울노원경찰서,66,37.64253037,127.07181591
서울성동경찰서,64,37.56151137,127.03643255
서울서초경찰서,44,37.49554626,127.00535392
서울구로경찰서,44,37.50743171,126.89078068
서울마포경찰서,41,37.55062229,126.95496806
서울용산경찰서,38,37.54101252,126.9676894
서울동대문경찰서,37,37.58467552,127.04570883
서울남대문경찰서,34,37.55470547,126.97316073
서울은평경찰서,34,37.6281128,126.92846828
서울동작경찰서,34,37.51340417,126.94247025
서울송파경찰서,34,37.5018255,127.12725931
둔촌파출소,31,37.52576732,127.13573008
서울금천경찰서,31,37.45668772,126.89692044
화양지구대,31,37.54665262,127.07142979
양재파출소,31,37.48452034,127.03771239
문성지구대,31,37.46957523,126.90336393
신사파출소,31,37.51832173,127.02410157
고덕파출소,31,37.55740282,127.15192215
곰달래지구대,30,37.53290048,126.86300472
서울양천경찰서,30,37.51637467,126.86575493
장위지구대,29,37.6193383,127.05365156
신월5파출소,29,37.53895476,126.83067416
당고개파출소,29,37.6669165,127.07581485
신길지구대,28,37.51293171,126.92652727
방배1파출소,28,37.48393631,126.9951885
청담파출소,28,37.5207942,127.05434874
성내지구대,28,37.5284335,127.1262031
금천지구대,27,37.4646312,126.8949204
서울광진경찰서,27,37.54265331,127.08412319
신풍지구대,25,37.49915529,126.91280669
방화3파출소,25,37.57983861,126.81456337
오류지구대,25,37.49473782,126.8388691
서울종암경찰서,24,37.60192328,127.0326262
대왕파출소,23,37.46502386,127.10740105
가리봉파출소,23,37.47907393,126.89258687
서울성북경찰서,23,37.59009102,127.01621136
서울도봉경찰서,23,37.65305658,127.05290067
서울중랑경찰서,23,37.61828379,127.1048136
종로2가파출소,23,37.57039837,126.98876998
일동파출소,23,37.56514943,127.01340677
문래지구대,22,37.51351446,126.897641
남태령지구대,22,37.47951992,126.98199538
신정3파출소,22,37.51498576,126.85511705
장안2파출소,22,37.57676028,127.07426201
서울영등포경찰서,22,37.52590198,126.90141808
고척지구대,22,37.5064868,126.85839477
신구로지구대,22,37.50237662,126.88383701
중앙지구대,22,37.51801412,126.90763996
서울강남경찰서,21,37.50904579,127.06687571
이동파출소,21,37.59322923,126.99871287
서울관악경찰서,21,37.47429777,126.95197049
잠실지구대,21,37.51193462,127.08220757
서울중부경찰서,20,37.55953836,126.97941003
서울강동경찰서,20,37.52840573,127.12661973
상계1파출소,20,37.67958132,127.05503861
서울혜화경찰서,19,37.57417626,127.01918376
신창파출소,19,37.64339071,127.03465261
상일파출소,19,37.55606989,127.16567094
월드컵지구대,19,37.56881379,126.90894396
역전지구대,19,37.55723293,126.9716608
당산지구대,18,37.53353998,126.90141787
대학로파출소,18,37.57850885,127.00607372
백산지구대,18,37.45091089,126.91250251
서울수서경찰서,18,37.49307561,127.07731966
서울서대문경찰서,18,37.56078791,126.96249486
화랑지구대,18,37.6224772,127.07451068
방학파출소,18,37.65838883,127.02715286
서울서부경찰서,17,37.60214347,126.92102525
홍익지구대,17,37.55201027,126.91338848
불암지구대,17,37.65233489,127.0773429
가산파출소,17,37.47985154,126.88800393
서울강북경찰서,17,37.63719686,127.02720902
금천파출소,16,37.45429916,126.89989246
암사지구대,16,37.55481959,127.14092323
우면파출소,16,37.45610658,127.01596518
신천파출소,15,37.51996202,127.11264902
서울종로경찰서,15,37.57214809,126.98438144
서울강서경찰서,14,37.55128701,126.85025537
서울방배경찰서,14,37.49474039,126.98299486
중동지구대,13,37.45091089,126.91250251
면목삼팔파출소,13,37.58317638,127.08423314
관악산지구대,13,37.47390862,126.93519425
을지로3가파출소,13,37.56626004,126.99285305
태평로파출소,13,37.56792628,126.97993752
도곡지구대,12,37.5013796,127.04371137
가좌파출소,12,37.57592435,126.9241646
대림지구대,11,37.49843289,126.8981136
반포지구대,11,37.50601726,127.00502032
청량리파출소,11,37.58387005,127.04526445
